opponent,seed,variant,board_id,games,base_grid_sha256,boards_archive_sha256,score,wins,losses,draws
expander,93000,v6,7,4,08e236f793f92fd5d8c76b908a27f7e68af80b6bc7d050ebba27e85ebef3be3d,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
expander,93000,v9,0,4,3f5571c6aa154af12504442053a63ad1cda503025b5dc560484aa7caf27aebc5,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
expander,93000,v9,1,4,71c2653d8afc23ec89bc3ad03a1a51b7038f0166187aa291bb335a93c541e8d6,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
expander,93000,v9,2,4,d548b79064c297c1570325772591025ff9e9dcfec25a3b3d68fc3ae610c570f4,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
expander,93000,v9,3,4,49802081a93386e375f8d1b386640aedc59e6d1d91ec6ae0453bbbf688952aeb,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
expander,93000,v9,4,4,c7813a2bccc073dbe3e7f391415bfcccd20fa0e1e83772eb0019a699c92ff202,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
expander,93000,v9,5,4,f52d6141e0bdb778ae8566deb2d3e54063bceb0dd278ce1964fbc218c31b4c9f,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
expander,93000,v9,6,4,966fb086271b77a98d6349805b3e2fbe022d7117c14a5e8ab4d29b76777d71f8,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
expander,93000,v9,7,4,08e236f793f92fd5d8c76b908a27f7e68af80b6bc7d050ebba27e85ebef3be3d,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
expander,93000,v10-v6,0,4,3f5571c6aa154af12504442053a63ad1cda503025b5dc560484aa7caf27aebc5,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
